3/4Bths,Acceptance Date,ADOM,Act Close Date,Address,Approx Addl Liv Area,Approx Liv Area,Area,AssocComFeatDesc,AssocComFeatDesc_2,AssocComFeatDesc_3,AssocComFeatDesc_4,AssocComFeatDesc_5,Bdrs,BldgDesc,BldgDesc_2,Built Desc,Carport,City/Twn,Construction,Construction_2,Construction_3,County,DOM,Energy,Energy_2,Energy_3,Energy_4,Expire Date,Exterior,Exterior_2,Exterior_3,Exterior_4,Exterior_5,Exterior_6,Exterior_7,Exterior_8,Firepl,FullBths,FurnishingDesc,Garage,Garage,Garage_2,Garage_3,Garage_4,Gated Y/N,GR BLD CERT,Green Feat,Green Feat_2,Green Feat_3,Green Feat_4,Green Feat_5,HalfBths,Heating Fuel,Heating Fuel_2,HouseViews,HouseViews_2,HouseViews_3,List Date,List Price,Lot Sqft,ML #,Occupancy,OrigListPrice,Ownership,Previous Price,PrcChgDt,Property Condition,PropDesc,PropDesc_2,PropDesc_3,PropDesc_4,PSType,PropType,PvPool,PvSpa,Repo-Reo,SP/SqFt,Sale Price,SaleTyp,Sold Seller Points,Short Sale,Sold Term,ST,Stat,StatusChangeDate,Subdivision,T Status Date,Type,Unit Description,Unit#,Utility Information,Utility Information_2,Utility Information_3,Utility Information_4,With Date,YearBlt,Zip,Manufact,MHYrBlt,Lease Term,Solar Electric
1,07/03/2016,  ,08/11/2016,3809 BESSEMER CT,  ,2607,405,NONE,  ,  ,  ,  ,4,2STORY,  ,RE,0,LASVEGAS,FRMSTUC,  ,  ,CLARK,72,DUALPNE,  ,  ,  ,  ,BYARDAC,CVPATIO,PRIVYRD,  ,  ,  ,  ,  ,1,2,FURNPAR,2,ATTACHD,  ,  ,  ,N,N,  ,  ,  ,  ,  ,0,GAS,  ,  ,  ,  ,04/22/2016,264000,11774,B212-33857,OWN,284000,SFR,284000,06/18/2016,VRGD,  ,  ,  ,  ,SFR,RES,N,N,N,97.429996,254000,TRADSALE,0,N,CONV,NV,S,08/12/2015,EL CAPITAN RANCH,  ,DETACHED,  ,  ,UNDGRND,  ,  ,  ,  ,1994,89129,  ,  ,  ,  
0,06/04/2016,  ,07/21/2016,8608 COPPER FALLS AV,  ,2653,405,CCRS,  ,  ,  ,  ,4,2STORY,  ,RE,0,LASVEGAS,BLKSTUC,  ,  ,CLARK,33,DUALPNE,SOLSCRN,  ,  ,  ,BALCONY,CVPATIO,PATIO,  ,  ,  ,  ,  ,1,2,NOFURN,3,ATTACHD,AUTODR,ENTRYHS,  ,N,N,  ,  ,  ,  ,  ,1,GAS,  ,  ,  ,  ,05/02/2016,289500,5240,B212-36925,VAC,292500,SFR,292500,05/26/2016,EXCL,  ,  ,  ,  ,SFR,RES,N,N,N,105.352431,279500,TRADSALE,0,N,FHA,NV,S,07/23/2015,GOWAN FORT APACHE,  ,DETACHED,  ,  ,CABLAVL,SOLSCRN,UNDGRND,  ,  ,1999,89129,  ,  ,  ,  
1,,251,,3605 N CAMPBELL RD,  ,3417,405,NONE,  ,  ,  ,  ,6,2STORY,  ,RE,0,LASVEGAS,FRMSTUC,  ,  ,CLARK,  ,NONE,  ,  ,  ,  ,PATIO,  ,  ,  ,  ,  ,  ,  ,3,2,NOFURN,3,ATTACHD,AUTODR,ENTRYHS,  ,N,N,  ,  ,  ,  ,  ,0,GAS,  ,NONE,  ,  ,05/13/2016,315000,6983,B212-39732,OWN,315000,SFR,,05/14/2016,  ,  ,  ,  ,  ,SFR,RES,N,N,N,  ,  ,  ,  ,Y,  ,NV,ER,  ,CIMARRON MEADOWS,  ,DETACHED,  ,  ,CABLAVL,  ,  ,  ,  ,1998,89129,  ,  ,  ,  
0,05/21/2016,  ,06/22/2016,3832 COOL MEADOWS DR,  ,2812,405,CCRS,  ,  ,  ,  ,4,2STORY,  ,RE,0,LASVEGAS,FRMSTUC,  ,  ,CLARK,7,NONE,  ,  ,  ,  ,PATIO,  ,  ,  ,  ,  ,  ,  ,1,2,NOFURN,3,ATTACHD,AUTODR,ENTRYHS,  ,N,N,  ,  ,  ,  ,  ,1,GAS,  ,  ,  ,  ,05/14/2016,269900,8289,B212-40153,TEN,269900,SFR,,05/14/2016,GOOD,  ,  ,  ,  ,SFR,RES,N,N,N,94.203414,264900,TRADSALE,0,N,FHA,NV,S,06/23/2015,EL CAPITAN RANCH,  ,DETACHED,  ,  ,CABLAVL,  ,  ,  ,  ,1997,89129,  ,  ,Monthly,  
0,06/12/2016,  ,07/15/2016,8632 RAINDROP CANYON AV,  ,2653,405,CCRS,  ,  ,  ,  ,4,2STORY,  ,RE,0,LASVEGAS,FRMSTUC,  ,  ,CLARK,10,NONE,  ,  ,  ,  ,BI-BBQ,CVPATIO,PRIVYRD,  ,  ,  ,  ,  ,2,2,NOFURN,3,ATTACHD,AUTODR,ENTRYHS,  ,N,N,  ,  ,  ,  ,  ,1,GAS,  ,  ,  ,  ,06/02/2016,312777,5240,B212-44673,OWN,312777,  ,,06/02/2016,VRGD,  ,  ,  ,  ,SFR,RES,Y,Y,N,112.702601,299000,TRADSALE,0,N,CONV,NV,S,07/16/2015,MILAN-UNIT 2 AMD,  ,DETACHED,  ,  ,UNDGRND,  ,  ,  ,  ,2000,89129,N,  ,  ,  
0,07/01/2016,  ,07/29/2016,7921 AVIANO PINES AV,  ,2702,405,NONE,  ,  ,  ,  ,5,2STORY,  ,RE,0,LASVEGAS,FRMSTUC,  ,  ,CLARK,28,NONE,  ,  ,  ,  ,BYARDAC,COURTYD,PATIO,  ,  ,  ,  ,  ,1,3,NOFURN,2,ATTACHD,ENTRYHS,FINISHD,  ,N,N,  ,  ,  ,  ,  ,1,GAS,  ,MOUNTVW,  ,  ,06/03/2016,264990,4369,B212-45129,VAC,264990,  ,,05/26/2016,GOOD,  ,  ,  ,  ,SFR,RES,N,N,N,97.705403,264000,TRADSALE,8000,N,VA,NV,S,07/30/2015,EL CAPITAN RANCH,  ,DETACHED,  ,  ,UNDGRND,  ,  ,  ,  ,1997,89129,  ,  ,  ,  
0,07/01/2016,  ,10/19/2016,8529 COPPER KNOLL AV,  ,2653,405,NONE,  ,  ,  ,  ,4,2STORY,  ,RE,0,LASVEGAS,FRMSTUC,  ,  ,CLARK,21,DUALPNE,  ,  ,  ,  ,BYARDAC,CVPATIO,  ,  ,  ,  ,  ,  ,2,2,NOFURN,3,ATTACHD,AUTODR,  ,  ,N,N,  ,  ,  ,  ,  ,1,GAS,  ,  ,  ,  ,06/10/2016,309900,5240,B212-47082,OWN,309900,SFR,,06/10/2016,VRGD,  ,  ,  ,  ,SFR,RES,Y,Y,N,114.964191,305000,TRADSALE,0,N,FHA,NV,S,10/20/2015,GOWAN FORT APACHE,  ,DETACHED,  ,  ,CABWIRE,  ,  ,  ,  ,1998,89129,  ,  ,  ,  
1,11/07/2016,  ,12/14/2016,3717 FERNDALE COVE DR,  ,3386,405,NONE,  ,  ,  ,  ,5,2STORY,  ,RE,0,LASVEGAS,FRMSTUC,  ,  ,CLARK,151,SOLSCRN,  ,  ,  ,  ,BBQSTUB,CVPATIO,  ,  ,  ,  ,  ,  ,2,2,NOFURN,3,ATTACHD,AUTODR,ENTRYHS,  ,N,N,  ,  ,  ,  ,  ,0,GAS,  ,  ,  ,  ,06/09/2016,340500,6547,B212-47224,OWN,354500,  ,344900,10/29/2016,EXCL,  ,  ,  ,  ,SFR,RES,N,N,N,96.721796,327500,TRADSALE,5500,N,VA,NV,S,12/14/2015,NORTHSHORES-PHASE 2 LOT H UNIT,  ,DETACHED,  ,  ,CABLAVL,UNDGRND,  ,  ,  ,1996,89129,  ,  ,  ,None
1,06/23/2016,  ,07/30/2016,3501 DOVER BAY ST,  ,2639,405,CCRS,  ,  ,  ,  ,4,2STORY,  ,RE,0,LASVEGAS,FRMSTUC,  ,  ,CLARK,8,NONE,  ,  ,  ,  ,PRIVYRD,BYARDAC,  ,  ,  ,  ,  ,  ,1,3,NOFURN,2,ATTACHD,ENTRYHS,  ,  ,Y,N,  ,  ,  ,  ,  ,0,GAS,  ,  ,  ,  ,06/15/2016,364000,7854,B212-48140,VAC,364000,SFR,,06/15/2016,EXCL,  ,  ,  ,  ,SFR,RES,Y,Y,N,132.625995,350000,TRADSALE,0,N,CONV,NV,S,08/03/2015,GOWAN/FORT APACHE-UNIT 2A,  ,DETACHED,  ,  ,220GAR,  ,  ,  ,  ,1998,89129,  ,  ,  ,  
1,07/01/2016,  ,07/30/2016,9072 BAYSINGER DR,  ,3386,405,NONE,  ,  ,  ,  ,5,2STORY,  ,RE,0,LASVEGAS,FRMSTUC,  ,  ,CLARK,14,DUALPNE,  ,  ,  ,  ,BALCONY,BBQSTUB,BYARDAC,DECK,  ,  ,  ,  ,3,2,NOFURN,3,ATTACHD,AUTODR,ENTRYHS,  ,N,N,  ,  ,  ,  ,  ,0,GAS,  ,NONE,  ,  ,06/17/2016,374000,6111,B212-48685,TEN,374000,  ,,06/17/2016,EXCL,  ,  ,  ,  ,SFR,RES,Y,Y,N,108.092144,366000,TRADSALE,0,N,CONV,NV,S,08/02/2015,EL CAPITAN RANCH,  ,DETACHED,  ,  ,CABLAVL,  ,  ,  ,  ,1996,89129,  ,  ,Monthly,  
